Date;Tair;RH;RRR
21.06.2016 18:00;28;44;0.1
21.06.2016 15:00;28.1;43;
21.06.2016 12:00;28.1;40;
21.06.2016 9:00;26.8;41;
21.06.2016 6:00;19.4;77;
21.06.2016 3:00;15.6;86;
21.06.2016 0:00;20;61;
20.06.2016 21:00;24.1;44;
20.06.2016 18:00;26.8;32;
20.06.2016 15:00;26.8;30;
20.06.2016 12:00;25.7;33;
20.06.2016 9:00;23.9;43;
20.06.2016 6:00;18.7;67;
20.06.2016 3:00;16.2;85;
20.06.2016 0:00;16.9;81;
19.06.2016 21:00;22.2;55;
19.06.2016 18:00;24.4;48;
19.06.2016 15:00;27.3;36;
19.06.2016 12:00;25.1;44;
19.06.2016 9:00;23.4;63;4
19.06.2016 6:00;18;94;9
19.06.2016 3:00;16.7;96;
19.06.2016 0:00;17.7;95;
18.06.2016 21:00;20;92;5
18.06.2016 18:00;27.2;52;
18.06.2016 15:00;27.9;54;
18.06.2016 12:00;28.6;49;
18.06.2016 9:00;26.1;57;
18.06.2016 6:00;21.7;72;
18.06.2016 3:00;17.9;89;
18.06.2016 0:00;18;84;
17.06.2016 21:00;23;58;
17.06.2016 18:00;26.6;43;
17.06.2016 15:00;27.7;41;
17.06.2016 12:00;26.4;46;
17.06.2016 9:00;23.1;68;0.7
17.06.2016 6:00;17.7;96;1
17.06.2016 3:00;16.2;95;
17.06.2016 0:00;17.1;93;
16.06.2016 21:00;21.8;71;0.3
16.06.2016 18:00;23.5;68;
16.06.2016 15:00;23;68;
16.06.2016 12:00;22.8;64;
16.06.2016 9:00;21;69;0.3
16.06.2016 6:00;19.3;78;0.3
16.06.2016 3:00;17.7;88;
16.06.2016 0:00;19.7;79;
15.06.2016 21:00;21.9;64;
15.06.2016 18:00;23.6;57;
15.06.2016 15:00;23.7;55;
15.06.2016 12:00;20.7;64;
15.06.2016 9:00;16.8;67;
15.06.2016 6:00;14.3;72;
15.06.2016 3:00;14.2;67;
15.06.2016 0:00;13.8;74;
14.06.2016 21:00;16.1;52;
14.06.2016 18:00;21;33;
