DateTime,ALBEDO_1_1_1,APAR_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,P_1_1_1,RH_1_1_1,SHF_1_1_1,SHF_1_1_2,SHF_1_1_3,SWC_1_1_1,SWC_1_1_2,SWC_1_1_3,SWC_1_1_4,SWC_1_1_5,SWC_1_1_6,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4,TS_1_1_5,TS_1_1_6,time
yyyy-mm-dd HH:MM:SS,%,umol/m^2/s,W/m^2,W/m^2,W/m^2,umol/m^2/s,m,%,W/m^2,W/m^2,W/m^2,%,%,%,%,%,%,W/m^2,W/m^2,deg C,deg C,deg C,deg C,deg C,deg C,deg C,seconds since 1970-01-01 00:00:00.0
2023-06-10 08:00,0.247061,18.5128,-120.87200000000001,10.6127,165.90099999999998,617.094,0.0,52.0478,--,-10.7734,-89.5271,32.0383,--,34.1767,41.9153,34.2987,36.8837,394.82300000000004,97.4366,12.65100000000001,16.38900000000001,--,17.83000000000004,17.708000000000027,17.239000000000033,13.437000000000012,1686384000.0
2023-06-10 08:30,0.22949099999999997,21.5534,-122.73,15.3161,214.05,718.445,0.0,51.9389,--,2.53899,-98.2274,32.0618,--,34.156,41.90069999999999,34.318200000000004,36.865700000000004,456.865,104.76899999999999,13.064999999999998,16.615999999999985,--,17.716000000000008,17.654000000000053,18.408000000000015,14.136000000000024,1686385800.0
2023-06-10 09:00,0.214416,24.9821,-116.868,20.9462,276.835,832.7360000000001,0.0,51.5308,--,15.3126,-91.1409,32.0828,--,34.130300000000005,41.906000000000006,34.338,36.857299999999995,528.373,113.72399999999999,13.504999999999995,16.984000000000037,--,17.619000000000028,17.595000000000027,17.095000000000027,15.008000000000038,1686387600.0
2023-06-10 09:30,0.20733200000000002,29.8751,-114.469,27.6987,360.661,995.836,0.0,50.4329,--,46.2952,-117.57,32.1248,--,34.1213,41.8683,34.3433,36.8478,634.2959999999999,131.467,13.841000000000008,17.487000000000023,--,17.55000000000001,17.54200000000003,16.30400000000003,15.968000000000018,1686389400.0
2023-06-10 10:00,0.18909700000000002,25.3056,-80.4732,30.4789,323.496,843.52,0.0,48.908,--,36.9851,-87.7341,32.189800000000005,--,34.1075,41.867200000000004,34.3645,36.835,540.239,105.79,14.105000000000018,18.142000000000053,--,17.503000000000043,17.484000000000037,17.966000000000008,17.456000000000017,1686391200.0
2023-06-10 10:30,0.18578699999999998,15.4641,-86.4049,19.4434,151.16,515.469,0.0,47.9237,--,4.04844,-30.0691,32.2835,--,34.102700000000006,41.8618,34.412,36.829299999999996,317.08,60.0724,13.435000000000002,18.789000000000044,--,17.495000000000005,17.434000000000026,16.305000000000007,15.985000000000014,1686393000.0
2023-06-10 11:00,0.185177,38.0588,-99.6197,39.4026,523.857,1268.62,0.0,42.3599,--,74.606,-152.059,32.3425,--,34.0908,41.857299999999995,34.4695,36.827,813.577,150.69799999999998,14.75200000000001,19.097000000000037,--,17.52000000000004,17.384000000000015,18.839000000000055,18.475000000000023,1686394800.0
2023-06-10 11:30,0.178502,40.23,-108.542,46.6641,554.561,1341.0,0.0,38.3582,--,89.2983,-154.839,32.3973,--,34.086800000000004,41.84850000000001,34.5382,36.821799999999996,863.941,154.174,15.081000000000017,19.555999999999983,--,17.58000000000004,17.336000000000013,22.075000000000045,20.108000000000004,1686396600.0
2023-06-10 12:00,0.173255,34.6752,-99.5672,45.921,468.1,1155.84,0.0,38.1737,--,63.8084,-112.225,32.486,--,34.1112,41.835699999999996,34.6688,36.8142,743.7389999999999,130.151,15.422000000000025,20.213000000000022,--,17.661,17.30000000000001,22.932000000000016,22.14300000000003,1686398400.0
2023-06-10 12:30,0.173146,25.9116,-89.9141,39.1661,322.513,863.72,0.0,36.5041,--,32.2247,-58.3013,32.583,--,34.1102,41.826,34.8205,36.8168,546.638,95.044,15.197000000000003,20.857000000000028,--,17.77000000000004,17.27000000000004,20.809000000000026,22.53000000000003,1686400200.0
2023-06-10 13:00,0.182042,20.0412,-78.4341,28.7023,241.21200000000002,668.039,0.0,36.9216,--,24.3653,-45.9151,32.6753,--,34.1398,41.822700000000005,34.9375,36.8498,424.514,76.165,14.909000000000049,21.285000000000025,--,17.90500000000003,17.244000000000028,19.221000000000004,20.351,1686402000.0
2023-06-10 13:30,0.18036300000000002,17.5528,-71.1055,26.5223,203.294,585.094,0.0,35.8113,--,16.1264,-32.5055,32.6947,--,34.1585,41.8188,35.02,36.849,366.778,65.8565,15.001000000000033,21.442000000000007,--,18.072000000000003,17.234000000000037,19.397000000000048,20.022000000000048,1686403800.0
2023-06-10 14:00,0.177082,25.1622,-85.3795,28.513,323.70799999999997,838.74,0.0,34.3065,--,48.2378,-69.4647,32.6922,--,34.183,41.8153,35.0717,36.8725,531.88,94.279,15.370000000000005,21.462000000000046,--,18.24799999999999,17.227000000000032,19.525000000000034,20.055000000000007,1686405600.0
